case_id,system,category,difficulty,n_drugs,error,latency_s,llm_calls,prompt_tokens,completion_tokens,safety_flags,output_words,failed,rouge1_f,rouge1_r,rouge1_p,rouge2_f,rouge2_r,rouge2_p,rougeL_f,rougeL_r,rougeL_p,bleu,chrf,fact_coverage,facts_hit,facts_total,facts_missing,fk_grade,smog,reading_ease,words,in_target_band,leak_count,abbrev_clean,leaked,structure,headings_present,has_disclaimer
G15,rule,gi,medium,2,,0.001,0,0,0,2,432,False,0.42831215970961894,0.8676470588235294,0.28433734939759037,0.22950819672131148,0.4666666666666667,0.15217391304347827,0.29764065335753176,0.6029411764705882,0.19759036144578312,11.097953008605748,52.19114351905814,1.0,9,9,,7.86,10.97,58.64,409,True,0,True,,1.0,6,True
G16,rule,respiratory,medium,2,,0.001,0,0,0,1,509,False,0.4267912772585669,0.9133333333333333,0.2784552845528455,0.25,0.5369127516778524,0.1629327902240326,0.22429906542056072,0.48,0.14634146341463414,13.436658353297512,49.62456330473299,1.0,9,9,,6.49,9.75,70.39,486,True,0,True,,1.0,6,True
G17,rule,chronic,medium,1,,0.001,0,0,0,1,319,False,0.4932126696832579,0.8195488721804511,0.35275080906148865,0.2909090909090909,0.48484848484848486,0.2077922077922078,0.3529411764705882,0.5864661654135338,0.2524271844660194,15.968872732601938,57.292755409185204,1.0,9,9,,6.88,9.76,67.8,296,True,0,True,,1.0,6,True
G18,rule,ambiguous,medium,1,,0.0,0,0,0,1,301,False,0.5727272727272728,0.8513513513513513,0.4315068493150685,0.3881278538812785,0.5782312925170068,0.2920962199312715,0.3545454545454546,0.527027027027027,0.2671232876712329,23.512916832018735,61.135174943666506,1.0,6,6,,6.47,9.54,69.48,278,True,0,True,,1.0,6,True
G19,rule,antibiotic,hard,2,,0.001,0,0,0,4,595,False,0.35393258426966295,0.9064748201438849,0.2198952879581152,0.19154929577464788,0.4927536231884058,0.11888111888111888,0.24719101123595505,0.6330935251798561,0.15357766143106458,10.091273027529516,46.12631785598562,1.0,10,10,,6.58,9.59,70.55,572,True,0,True,,1.0,6,True
G20,rule,high_risk,hard,2,,0.001,0,0,0,2,494,False,0.39222042139384117,0.8642857142857143,0.25366876310272535,0.17235772357723578,0.381294964028777,0.11134453781512606,0.2560777957860616,0.5642857142857143,0.16561844863731656,7.586645770848639,42.314199972856805,1.0,11,11,,7.61,10.95,60.45,471,True,0,True,,1.0,6,True
G21,rule,high_risk,hard,1,,0.001,0,0,0,4,598,False,0.28251748251748254,0.7709923664122137,0.17294520547945205,0.12061711079943897,0.33076923076923076,0.07375643224699828,0.17902097902097902,0.48854961832061067,0.1095890410958904,5.1831861193087185,36.23146021999117,1.0,10,10,,7.4,10.34,68.99,575,True,0,True,,1.0,6,True
G22,rule,supplement,easy,1,,0.001,0,0,0,2,357,False,0.38736842105263153,0.71875,0.26512968299711814,0.21141649048625794,0.3937007874015748,0.14450867052023122,0.22736842105263158,0.421875,0.15561959654178675,11.323454792283563,46.831651053988814,1.0,8,8,,5.86,9.24,73.67,334,False,0,True,,1.0,6,True
G23,rule,topical,medium,2,,0.001,0,0,0,2,469,False,0.4065573770491803,0.8611111111111112,0.26609442060085836,0.17434210526315788,0.3706293706293706,0.11397849462365592,0.239344262295082,0.5069444444444444,0.15665236051502146,7.795155685169716,42.43295657622481,1.0,10,10,,6.41,9.46,71.01,446,True,0,True,,1.0,6,True
G24,rule,allergy,medium,2,,0.001,0,0,0,0,403,False,0.4334600760456274,0.8382352941176471,0.2923076923076923,0.2786259541984733,0.5407407407407407,0.18766066838046272,0.3193916349809886,0.6176470588235294,0.2153846153846154,15.078765639438972,50.449701517079134,0.9,9,10,levocetirizine,6.07,9.11,72.5,380,True,0,True,,1.0,6,True
